EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2400.SV101.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV101.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/modifierList/string,,
2400.SV101.07,Description,A free-form description to clarify the related data elements and their content,S,,,,,
2400.SV102,Monetary Amount,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/requestedAmount,,
2400.SV103,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,"UN : Unit
MJ : Minutes","MJ if minute, UN if unit",,,
2400.SV104,Quantity,Numeric value of quantity,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/minuteCount,,
,,,,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/units,,
2400.SV105,Facility Code Value,"Code identifying where services were, or may be, performed; the first and second positions of the Uniform Bill Type Code for Institutional Services or the Place of Service Codes for Professional or Dental Services.",S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/placeOfService,,
2400.SV107.01,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,This needs to point to the number of the diagnosis code at claim level in the order,
2400.SV107.02,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,,
2400.SV107.03,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,,
2400.SV107.04,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/diagnosisList/string,,
2400.SV109,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response /Emergency Indicator,S,Y :Yes,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/emergencyStatus/,,
2400.SV111,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response /EPSDT Indicator,S,Y :Yes,,,,
2400.SV112,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response/ Family Planning Indicator,S,Y :Yes,,,,
2400.SV115,Copay Status Code,"Code indicating whether or not co-payment requirements were met on a line by
line basis",S,0 : Copay exempt,,,,
SV5,Segment - SV5 Durable Medical Equipment Service (Situational),,,,No placeholder in IB XSD,,,
2400.SV501.01,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID",R,"HC : Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes",,,,
2400.SV501.02,Product/Service ID,Identifying number for a product or service,R,,,,,
2400.SV502,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",R,DA: Days,,,,
2400.SV503,Quantity,Numeric value of quantity,R,,,,,
2400.SV504,Monetary Amount,Monetary Amount,R,,,,,
2400.SV505,Monetary Amount,Monetary Amount,R,,,,,
2400.SV506,Frequency Code,Code indicating frequency or type of activities or actions being reported,R,"1 :Weekly
4 :Monthly
6 :Daily",,,,
PWK,Segment - PWK Line Supplemental Information (Situational),,,,,,,
2400.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,,,,,
2400.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be sent",R,,,,,
2400.PWK05,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,AC :  Attachment Control Number,,,,
2400.PWK06,Identification Code,Code identifying a party or other code,S,,,,,
PWK,Segment - PWK Durable Medical Equipment Certificate of Medical Necessity Indicator (Situational),,,,,,,
2400.PWK01,Report Type Code,"Code indicating the title or contents of a document, report or supporting item",R,CT : Certification,,,,
2400.PWK02,Report Transmission Code,"Code defining timing, transmission method or format by which reports are to be
sent",R,"AB :Previously Submitted to Payer
AD :Certification Included in this Claim
AF :Narrative Segment Included in this Claim
AG :No Documentation is Required
NS :Not Specified",,,,
CR1,Segment - CR1 Ambulance Transport Information (Situational),,,,,,,
2400.CR101,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",S,LB : Pound,,,,
2400.CR102,Weight,Numeric value of weight,S,,,,,
2400.CR104,Ambulance Transport Reason Code,Code indicating the reason for ambulance transport,R,"A : Patient was transported to nearest facility
B : Patient was transported for the benefit of a preferred physician
C : Patient was transported for the nearness of family members
D : Patient was transported for the care of a specialist
E : Patient Transferred to Rehabilitation Facility",,,,
2400.CR105,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,DH : Miles,,,,
2400.CR106,Quantity,Transport Distance,R,,,,,
2400.CR109,Description,"Round Trip Purpose Description. Required when the ambulance service is for a round
trip.",S,,,,,
2400.CR110,Description,Stretcher Purpose Description,S,,,,,
CR3,Segment - CR3 Durable Medical Equipment Certification (Situational),,,,,,,
2400.CR301,Certification Type Code,Code indicating the type of certification,R,"I : Initial
R : Renewal
S : Revised",,,,
2400.CR302,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,MO : Months,,,,
2400.CR303,Quantity,Numeric value of quantity,R,,,,,
CRC,Segment - CRC Ambulance Certification (Situational),,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,07 : Ambulance Certification,,,,
2400.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC04,Condition Indicator,Code indicating a condition when a second condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC05,Condition Indicator,Code indicating a condition when a third condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC06,Condition Indicator,Code indicating a condition when a fourth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
2400.CRC07,Condition Indicator,Code indicating a condition when a fifth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,,
CRC,Segment - CRC Hospice Employee Indicator (Situational),,R,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,70 : Hospice,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,65 : Open,,,,
CRC,Segment - CRC Condition Indicator/Durable Medical Equipment (Situational),,,,,,,
2400.CRC01,Code Category,Specifies the situation or category to which the code applies,R,09 : Durable Medical Equipment Certification,,,,
2400.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,
2400.CRC03,Condition Indicator,Code indicating a condition,R,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,
2400.CRC04,Condition Indicator,Code indicating a condition,S,"38 :  Certification signed by the physician is on file at the
supplier’s office
ZV : Replacement Item",,,,
DTP,Segment - DTP Date - Service Date (Required),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,472 : Service,472,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,"RD8 :  Range of Dates Expressed in Format CCYYMMDDCCYYMMDD
D8 : Date Expressed in Format CCYYMMDD",RD8 / D8,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,"/claim/claimLine/claimLine/serviceStartDate ""-"" /claim/claimLine/claimLine/serviceEndDate",,,
,,,,,,,,
DTP,Segment - DTP Date - Prescription Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,471 : Prescription,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP DATE - Certification Revision/Recertification Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,607 :  Certification Revision,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Begin Therapy Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,463 : Begin Therapy,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Last Certification Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,461 : Last Certification,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Last Seen Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,304 : Latest Visit or Consultation,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Test Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,"738 :Most Recent Hemoglobin or Hematocrit or Both
739 :Most Recent Serum Creatine",,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
2400.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,,,
DTP,Segment - DTP Date - Shipped Date (Situational),,,,,,,
2400.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,011 : Shipped,,,,
2400.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,,,,
