EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
2330B.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,,State Code,,
2330B.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,,"Zip Code
byte 1-5","Zip Code
byte 1-5",
2330B.N403,,,S,,,,"Zip Code Extension
byte 6-9","Zip Code Extension
byte 6-9",
2330B.N404,Country Code,Code identifying the country,S,,,,Country Code,"Map to the value ""US"" if not present",
2330B.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,,
DTP,Segment - DTP Claim Check or Remittance Date (Situational),,,,,,,,
2330B.DTP01,Date/Time Qualifier,"Code specifying type of date or time, or both date and time",R,573 : Date Claim Paid,,,,,
2330B.DTP02,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 :  Date Expressed in Format CCYYMMDD,,,,,
2330B.DTP03,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,20210305,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/delegatedAttributes/paidDate,"User-entered date on which the EOB was generated.

In the format YYYY-MM-DD",,
REF,Segment - REF Other Payer Secondary Identifier (Situational),,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"2U : Payer Identification Number
EI : Employer’s Identification Number
FY : Claim Office Number
NF : National Association of Insurance Commissioners
(NAIC) Code",,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Other Payer Secondary Identifier",R,,22105302412107COA,,,,
REF,Segment - REF Other Payer Prior Authorization Number (Situational),,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,G1 : Prior Authorization Number,,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Prior Authorization Number",R,,,,,,
REF,Segment - REF Other Payer Referral Number (Situational),,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9F :  Referral Number,,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/  Other Payer Prior Authorization or Referral
Number",R,,,,,,
REF,Segment - REF Other Payer Claim Adjustment Indicator (Situational),,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,T4 : Signal Code,,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer Claim Adjustment Indicator",R,,,,,,
REF,Segment - REF Other Payer Claim Control Number (Situational),,,,,,,,
2330B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,,,,,
2330B.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ : Other Payer’s Claim Control Number",R,,,,,,
Loop 2330C — OTHER PAYER REFERRING PROVIDER (Situational)  Loop Repeat: 2,,,,,,,,,
NM1,Segment - NM1 Other Payer Referring Provider (Situational),,,,,,,,
2330C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",,,,,
2330C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,,
REF,Segment - REF Other Payer Referring Provider Secondary Identification (Required),,,,,,,,
2330C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,,
2330C.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier  /Other Payer Referring Provider Identifier,R,,,,,,
Loop 2330D — OTHER PAYER RENDERING PROVIDER (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Payer Rendering Provider (Situational),,,,,,,,
2330D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 :Other Payer Referring Provider Identifier,,,,,
2330D.NM102,Entity Type Qualifier,Code qualifying the type of entity /Other Payer Referring Provider Identifier,R,"1 :Person
2 :Non-Person Entity",,,,,
REF,Segment - REF Other Payer Rendering Provider Secondary Identification (Required),,,,,,,,
2330D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B :State License Number
1G :Provider UPIN Number
G2 :Provider Commercial Number
LU :Location Number",,,,,
2330D.REF02,Reference Identification,Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Referring Provider Identifier,R,,,,,,
Loop 2330E — OTHER PAYER SERVICE FACILITY LOCATION (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Payer Service Facility Location (Situational),,,,,,,,
2330E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,77 : Service Locatio,,,,,
2330E.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 :Non-Person Entity,,,,,
REF,Segment - REF Other Payer Service Facility Location Secondary Identification (Required),,,,,,,,
2330E.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,,
2330E.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier /Other Payer Service Facility Location Secondary
Identifie",R,,,,,,
Loop 2330F  — OTHER PAYER SUPERVISING PROVIDER (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Payer Supervising Provider (Situational),,,,,,,,
2330F.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,,
2330F.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,,
REF,Segment - REF Other Payer Supervising Provider Secondary Identification (Required),,,,,,,,
2330F.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",,,,,
2330F.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Supervising Provider Identifier",R,,,,,,
Loop 2330G — OTHER PAYER BILLING PROVIDER  (Situational) Loop Repeat: 1,,,,,,,,,
NM1,Segment - NM1 Other Payer Billing Provider (Situational),,,,,,,,
2330G.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,85 : Billing Provider,,,,,
2330G.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,"1 : Person
2 : Non-Person Entity",,,,,
REF,Segment - REF Other Payer Billing Provider Secondary Identification (Required),,,,,,,,
2330G.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"G2 : Provider Commercial Number
LU : Location Number",,,,,
2330G.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Other Payer Billing Provider Identifier",R,,,,,,
Loop 2400  — SERVICE LINE NUMBER(Required) Loop Repeat: 50,,,,,,,,,
LX,Segment - LX Service Line Number (Required),,,,,,,,
2400.LX01,Assigned Number,Number assigned for differentiation within a transaction set,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/originalLineNumber,Original claim line number,,
,,,,,,,Claim Line number,Map only for COB claims(when 2430 Loop exists),
SV1,Segment - SV1 Professional Service (Required),,,,,,,,
2400.SV101.01,Product/Service ID Qualifier,"Code identifying the type/source of the descriptive number used in
Product/Service ID (234)",R,"HC  :  Health Care Financing Administration Common
Procedural Coding System (HCPCS) Codes
ER : Jurisdiction Specific Procedure and Supply Codes
IV :Home Infusion EDI Coalition (HIEC) Product/Service
Code
WK :Advanced Billing Concepts (ABC) Codes",,,,,
2400.SV101.02,Product/Service ID,identifying number for a product or service,R,,90837,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/serviceCode,Service code associated with the claim line,Add serviceCode value as ‘PHARM’ for encounters,
2400.SV101.03,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,HE,,Modifier,,
2400.SV101.04,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,Modifier,,
2400.SV101.05,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,Modifier,,
2400.SV101.06,Procedure Modifier,"This identifies special circumstances related to the performance of the service, as defined by trading partners",S,,GT,,Modifier,,
2400.SV101.07,Description,A free-form description to clarify the related data elements and their content,S,,,,,,PSD1640 added service description
2400.SV102,Monetary Amount,Monetary Amount,R,,233.19,,Billed Amount / COB related,,COB related
,,,,,233.19,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/eobPaymentInformation/billedAmount,Billed Amount / COB related,,COB related
,,,,,233.19,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/serviceFee,Service Fee,,
,,,,,233.19,,Amount charged by outside Lab,,
2400.SV103,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,"UN : Unit
MJ : Minutes",,,,,
2400.SV104,Quantity,Numeric value of quantity,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/serviceUnitCount,Identifies the type of unit,If 2400.SV103 = “UN”,
,,,,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/minuteCount,Number of minutes,If 2400.SV103 = “MJ”,
2400.SV105,Facility Code Value,"Code identifying where services were, or may be, performed; the first and second positions of the Uniform Bill Type Code for Institutional Services or the Place of Service Codes for Professional or Dental Services.",S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/placeOfServiceCode,Code indicating the palce of service,Copy from 2300.CLM05-01 if 2400.SV105 is not present,
2400.SV107.01,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/diagnosisCodePointers/diagnosisCodePointer,Diagnosis code applicable to the service line,,
2400.SV107.02,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/diagnosisCodePointers/diagnosisCodePointer,Diagnosis code applicable to the service line,,
2400.SV107.03,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/diagnosisCodePointers/diagnosisCodePointer,Diagnosis code applicable to the service line,,
2400.SV107.04,Diagnosis Code Pointer,A pointer to the diagnosis code in the order of importance to this service,S,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/serviceLineItems/serviceLineItem/diagnosisCodePointers/diagnosisCodePointer,Diagnosis code applicable to the service line,,
